prompt,raw_data
"A portrait photo of a kangaroo wearing an orange hoodie and blue sunglasses standing on the grass in front of the Sydney Opera House holding a sign on the chest that says Welcome Friends, subject: kangaroo, subject detail: wearing orange hoodie, wearing blue sunglasses, subject location: sydney opera house, subject action: holding sign","{""image_uri"": ""PENDING"", ""modifiers"": [""portrait photo"", ""kangaroo wearing"", ""orange hoodie"", ""blue sunglasses standing"", ""grass"", ""sydney opera house holding"", ""sign"", ""chest"", ""says welcome friends"", ""subject kangaroo"", ""subject detail wearing orange hoodie"", ""wearing blue sunglasses"", ""subject location sydney opera house"", ""subject action holding sign""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 556046175, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 15.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005543895024812062/1006343074768769054/A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_blue_sunglasses_standing_on_the_grass_in_front_of_the_Sydney_Opera_House_holding_a_sign_-C_15.0_-n_9_-i_-S_556046175_ts-1660001285_idx-4.png"", ""timestamp"": 1660001285, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
inmates with cow heads inside a jailcell,"{""image_uri"": ""PENDING"", ""modifiers"": [""inmates"", ""cow heads inside"", ""jailcell""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 2841160359, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626976016531567/1007141005977469019/inmates_with_cow_heads_inside_a_jailcell_-n_9_-i_-S_2841160359_ts-1660191527_idx-1.png"", ""timestamp"": 1660191527, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"daguerrotype of a corgi astronaut on the moon, award - winning photograph, vintage, stunning","{""image_uri"": ""PENDING"", ""modifiers"": [""daguerrotype"", ""corgi astronaut"", ""moon"", ""award winning photograph"", ""vintage"", ""stunning""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 701954908, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626910941904916/1008782950592172163/daguerrotype_of_a_corgi_astronaut_on_the_moon_award_-_winning_photograph_vintage_stunning_-n_9_-i_-s_150_-S_701954908_ts-1660582997_idx-0.png"", ""timestamp"": 1660582997, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
totem animal tribal chaman vodoo mask feather gemstone plant wood rock video game illustration vivid color borderlands by josan gonzales and dan mumford radiating a glowing aura,"{""image_uri"": ""PENDING"", ""modifiers"": [""totem animal tribal chaman vodoo mask feather gemstone plant wood rock video game illustration vivid color borderlands"", ""josan gonzales"", ""dan mumford radiating"", ""glowing aura""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3884635196, ""width"": 512, ""height"": 768, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626829094264952/1007255384639152149/totem_animal_tribal_chaman_vodoo_mask_feather_gemstone_plant_wood_rock_video_game_illustration_vivid_color_borderlands_by_josan_gonzales_and_dan_mu_-H_768_-n_9_-i_-S_3884635196_ts-1660218797_idx-0.png"", ""timestamp"": 1660218797, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
p. cubensis,"{""image_uri"": ""PENDING"", ""modifiers"": [""p cubensis""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 839247194, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627817758838784/1007415486067261531/p._cubensis_-n_9_-i_-S_839247194_ts-1660256968_idx-0.png"", ""timestamp"": 1660256968, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"Illustration of a sugar skull day of the dead girl, art by christopher vacher","{""image_uri"": ""PENDING"", ""modifiers"": [""illustration"", ""sugar skull day"", ""dead girl"", ""art"", ""christopher vacher""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3527050543, ""width"": 512, ""height"": 768, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626539460800604/1006558999283519628/Illustration_of_a_sugar_skull_day_of_the_dead_girl_art_by_christopher_vacher_-H_768_-n_6_-i_-S_3527050543_ts-1660052765_idx-3.png"", ""timestamp"": 1660052765, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 6}}"
"two gnomes standing in front of a circular portal, open to a red world. Detailed digital matte painting in the style of simon stalenhag","{""image_uri"": ""PENDING"", ""modifiers"": [""gnomes standing"", ""circular portal"", ""open"", ""red world detailed digital matte painting"", ""style"", ""simon stalenhag""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 798195305, ""width"": 768, ""height"": 768, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627131230949456/1005983711306731540/two_gnomes_standing_in_front_of_a_circular_portal_open_to_a_red_world._Detailed_digital_matte_painting_in_the_style_of_simon_stalenhag_-H_768_-W_768_-n_9_-i_-S_798195305_ts-1659915606_idx-3.png"", ""timestamp"": 1659915606, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"tall, security guard checks the bags of a worried looking woman, art, satire","{""image_uri"": ""PENDING"", ""modifiers"": [""tall"", ""security guard checks"", ""bags"", ""worried looking woman"", ""art"", ""satire""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 1260601602, ""width"": 768, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 8.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005625691146047548/1008724275559149648/tall_security_guard_checks_the_bags_of_a_worried_looking_woman_art_satire_-W_768_-C_8.0_-n_9_-i_-S_1260601602_ts-1660569007_idx-3.png"", ""timestamp"": 1660569007, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"a colorful vibrant closeup portrait of a magician licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation","{""image_uri"": ""PENDING"", ""modifiers"": [""colorful vibrant closeup portrait"", ""magician licking"", ""tab"", ""lsd acid"", ""tongue"", ""dreaming psychedelic hallucinations"", ""kawase hasui"", ""moebius"", ""edward hopper"", ""james gilleard"", ""zdzislaw beksinski"", ""steven outram colorful flat surreal design"", ""hd"", ""8 k"", ""artstation""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 2843256005, ""width"": 512, ""height"": 768, ""content"": """", ""is_grid"": 0, ""num_step"": 88, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005597339609743362/1007168204122116116/a_colorful_vibrant_closeup_portrait_of_a_magician_licking_a_tab_of_lsd_acid_on_his_tongue_and_dreaming_psychedelic_hallucinations_by_kawase_-H_768_-n_9_-i_-s_88_-S_2843256005_ts-1660198011_idx-4.png"", ""timestamp"": 1660198011, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
mr clean mr clean mr clean and mike tyson laughing,"{""image_uri"": ""PENDING"", ""modifiers"": [""mr clean mr clean mr clean"", ""mike tyson laughing""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 2412888461, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 75, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005543895024812062/1005974121437474866/mr_clean_mr_clean_mr_clean_and_mike_tyson_laughing_-n_9_-i_-s_75_-S_2412888461_ts-1659913320_idx-1.png"", ""timestamp"": 1659913320, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
